Time (milliseconds),time,accelleration,x_accelleration,y_accelleration,z_accelleration,temperature
1065950,1065.933,59.14269,4.23792,12.71376,-57.60433,19
1065973,1065.957,59.10498,7.37712,10.9872,-57.60433,19
1065997,1065.981,59.61733,7.691041,10.2024,-58.23216,19
1066057,1066.041,61.53653,7.22016,9.103681,-60.4296,19
1066081,1066.065,62.37142,7.53408,6.90624,-61.52833,19
1066105,1066.089,62.75849,5.96448,7.691041,-61.9992,19
1066129,1066.113,63.38172,8.789761,6.12144,-62.47008,19
1066153,1066.137,65.71247,7.691041,7.53408,-64.82449,19
1066213,1066.197,71.16783,10.04544,4.39488,-70.31808,19
1066237,1066.221,66.04921,18.0504,-27.468,-57.2904,19
1066261,1066.245,38.12804,11.30112,-36.41472,0.0,19
1066285,1066.269,89.91781,15.696,-80.0496,37.82736,19
1066308,1066.293,52.12396,18.52128,-25.1136,41.75136,19
1066369,1066.353,58.25014,-44.7336,20.4048,31.23504,19
1066393,1066.377,69.24659,57.13344,35.62992,16.16688,19
1066417,1066.401,108.2551,67.17889,80.0496,28.2528,19
1066441,1066.425,26.62821,26.36928,2.98224,2.19744,19
1066501,1066.485,21.7065,3.924,-20.4048,6.2784,19
1066525,1066.509,12.46029,-1.09872,12.08592,2.82528,19
1066549,1066.533,21.01975,-1.5696,19.62,7.37712,19
1066572,1066.557,40.28861,9.417601,37.98432,9.57456,19
1066597,1066.581,33.45753,13.81248,25.42752,-16.79472,19
1066657,1066.641,22.285,8.00496,18.99216,8.475841,19
1066681,1066.665,25.95779,5.17968,18.67824,-17.2656,19
1066705,1066.689,14.93431,2.19744,14.28336,3.76704,19
1066729,1066.713,16.17907,9.88848,2.51136,12.5568,19
1066753,1066.737,22.94302,11.14416,7.691041,18.52128,19
1066813,1066.797,42.74301,2.19744,6.2784,42.22224,19
1066837,1066.821,75.1491,-24.3288,4.7088,70.94593,19
1066862,1066.845,20.50177,8.789761,18.52128,0.15696,19
1066885,1066.869,13.63385,10.9872,7.22016,-3.61008,19
1066909,1066.893,16.64146,15.38208,4.08096,4.86576,19
1066969,1066.953,19.20436,12.5568,6.43536,13.02768,19
