Time (milliseconds),time,accelleration,x_accelleration,y_accelleration,z_accelleration,altitude
425932,425.904,10.30332,7.53408,6.43536,-2.82528,416.9587
425968,425.94,10.29734,7.53408,6.2784,-3.1392,417.3656
426005,425.976,10.25058,7.53408,6.2784,-2.98224,416.9587
426076,426.048,9.728989,6.90624,6.43536,-2.3544,416.9587
426112,426.084,10.67559,7.0632,7.0632,-3.76704,416.7923
426148,426.12,10.47171,7.691041,6.12144,-3.61008,417.4396
426185,426.156,12.76983,9.88848,7.0632,-3.924,417.4396
426221,426.192,10.29136,8.31888,4.86576,-3.61008,416.5492
426292,426.264,10.56307,7.53408,6.90624,-2.66832,417.4396
426328,426.3,8.723644,6.2784,5.17968,-3.1392,417.2732
426364,426.336,10.31885,7.691041,6.12144,-3.1392,416.7923
426401,426.372,10.41273,7.37712,6.90624,-2.51136,416.8636
426472,426.444,10.37718,7.691041,6.43536,-2.66832,417.0327
426508,426.48,9.999966,7.37712,6.43536,-2.04048,417.3471
426545,426.516,10.32124,7.53408,6.59232,-2.51136,415.9732
426581,426.552,10.24698,7.22016,6.12144,-3.924,417.2732
426617,426.588,10.16854,7.22016,6.43536,-3.1392,416.4567
426688,426.66,10.3653,7.691041,6.59232,-2.19744,417.4212
426725,426.696,10.13578,7.37712,6.2784,-2.98224,417.1807
426761,426.732,10.32959,7.37712,6.43536,-3.29616,417.2732
426796,426.768,9.910877,7.0632,6.12144,-3.29616,417.3471
426868,426.84,10.09071,7.37712,6.2784,-2.82528,416.4567
426905,426.876,10.29734,7.53408,6.2784,-3.1392,416.9376
426940,426.912,10.89827,8.789761,5.33664,-3.61008,417.4212
426977,426.948,9.442419,7.0632,5.80752,-2.3544,417.4212
427014,426.984,10.41865,7.22016,6.74928,-3.29616,417.0116
427089,427.06,10.06994,7.22016,6.2784,-3.1392,417.1807
427124,427.096,9.938184,7.37712,4.7088,-4.7088,418.0711
427160,427.132,10.37956,7.691041,6.90624,-0.94176,417.252
427196,427.168,11.66267,8.475841,6.59232,-4.55184,416.7711
427269,427.24,10.60497,7.691041,6.59232,-3.1392,417.3471
427305,427.276,10.96251,7.691041,7.22016,-2.98224,417.1807
427340,427.312,10.84956,7.691041,6.90624,-3.29616,418.3116
427376,427.348,10.13578,7.37712,6.2784,-2.98224,416.1211
