Time (milliseconds),time,accelleration,x_accelleration,y_accelleration,z_accelleration,temperature,x_magnet_strength,y_magnet_strength,z_magnet_strength,total_magnet_strength,altitude
548078,548.046,9.868529,0.47088,-1.5696,-9.731521,22,0.00495,0.04305,0.06525001,0.07832859,402.8331
548167,548.133,10.18669,0.62784,-1.5696,-10.04544,22,0.00585,0.04245,0.0648,0.07768697,403.1581
548217,548.185,9.586132,0.47088,-1.72656,-9.417601,22,0.00495,0.04245,0.06555,0.07825156,402.59
548270,548.2329,10.04912,0.47088,-1.72656,-9.88848,22,0.00525,0.04215,0.0657,0.07823474,403.3193
548348,548.317,9.778243,0.62784,-1.88352,-9.57456,22,0.0054,0.0417,0.06525001,0.07762482,402.59
548397,548.365,9.722655,0.62784,-1.5696,-9.57456,22,0.0045,0.0423,0.06599999,0.07852096,402.2677
548444,548.413,10.0577,0.62784,-1.72656,-9.88848,22,0.00465,0.04185,0.06615,0.07841472,402.915
548528,548.497,9.903418,0.62784,-1.72656,-9.731521,22,0.00525,0.04215,0.0651,0.07773156,402.9943
548578,548.546,9.740376,0.47088,-1.72656,-9.57456,22,0.00555,0.0417,0.0651,0.07750937,402.2677
548664,548.633,10.04912,0.47088,-1.72656,-9.88848,22,0.0054,0.04245,0.06585,0.0785327,402.8331
548712,548.681,9.894707,0.47088,-1.72656,-9.731521,22,0.0048,0.04275,0.06525001,0.07815475,402.8331
548762,548.729,9.568126,0.62784,-1.5696,-9.417601,22,0.00435,0.0423,0.06555,0.07813459,403.2374
548840,548.809,9.749226,0.62784,-1.72656,-9.57456,22,0.0057,0.04245,0.0648,0.07767581,403.1528
548888,548.857,9.740376,0.47088,-1.72656,-9.57456,22,0.0045,0.042,0.0657,0.07810724,402.1779
548939,548.905,9.877263,0.62784,-1.5696,-9.731521,22,0.00525,0.0423,0.06615,0.07869356,402.746
549024,548.993,9.894707,0.47088,-1.72656,-9.731521,22,0.0045,0.04215,0.0654,0.07793608,402.8331
549074,549.041,9.740376,0.47088,-1.72656,-9.57456,22,0.0048,0.042,0.0654,0.07787297,402.7513
549163,549.129,9.877263,0.62784,-1.5696,-9.731521,22,0.00495,0.0423,0.06615,0.07867411,402.9943
549212,549.181,9.914606,0.7848001,-1.72656,-9.731521,22,0.00555,0.04215,0.0657,0.07825544,402.7513
549262,549.229,9.894707,0.47088,-1.72656,-9.731521,22,0.0048,0.04185,0.0651,0.07754014,402.7513
549340,549.309,9.894707,0.47088,-1.72656,-9.731521,22,0.0048,0.04245,0.06525001,0.07799106,403.6417
549391,549.357,9.894707,0.47088,-1.72656,-9.731521,22,0.00435,0.0423,0.0654,0.07800879,402.7513
549440,549.409,10.09681,0.7848001,-1.88352,-9.88848,22,0.0054,0.0423,0.0657,0.07832586,402.7513
549524,549.493,9.740376,0.47088,-1.72656,-9.57456,22,0.00465,0.0423,0.0651,0.07777482,402.4315
549574,549.541,9.877263,0.62784,-1.5696,-9.731521,22,0.0054,0.04215,0.06494999,0.07761626,402.7513
549662,549.629,9.734052,0.31392,-1.72656,-9.57456,22,0.0048,0.0426,0.0654,0.0781982,403.0762
549713,549.681,9.914606,0.7848001,-1.72656,-9.731521,22,0.00465,0.04245,0.0651,0.0778565,403.5624
549763,549.729,10.08583,0.62784,-1.88352,-9.88848,22,0.0051,0.0417,0.06465,0.07710073,403.3193
549840,549.809,9.903418,0.62784,-1.72656,-9.731521,22,0.0048,0.0426,0.06555,0.0783237,403.4832
549890,549.857,9.769421,0.47088,-1.88352,-9.57456,22,0.00525,0.0423,0.0651,0.077813,402.59
549941,549.909,9.903418,0.62784,-1.72656,-9.731521,22,0.00495,0.042,0.06525001,0.07775645,403.1581
550025,549.993,10.4623,1.09872,-2.04048,-10.2024,22,0.00465,0.04305,0.0654,0.07843522,403.1581
550078,550.041,9.734052,0.7848001,-1.5696,-9.57456,22,0.00495,0.04275,0.06555,0.07841472,402.59
550164,550.133,9.70744,0.31392,-1.5696,-9.57456,22,0.00465,0.0429,0.0651,0.07810277,402.7513
550212,550.181,10.16975,2.3544,-0.31392,-9.88848,22,0.00525,0.04185,0.06615,0.07845258,403.3986
550262,550.229,80.09099,2.04048,1.5696,-80.0496,22,0.0057,0.04635,0.0651,0.08011755,402.672
550341,550.309,82.08723,5.17968,-17.42256,-80.0496,22,0.0099,0.045,0.0645,0.07926702,399.1155
550388,550.357,80.28669,3.29616,-15.85296,-78.63697,22,0.01455,0.0438,0.06465,0.07943403,399.6783
550436,550.405,81.5499,3.924,-15.06816,-80.0496,22,0.0195,0.0393,0.06599999,0.07925112,397.7415
550521,550.489,82.15129,4.55184,-17.89344,-80.0496,22,0.027,0.02355,0.0702,0.07881398,393.3949
550569,550.537,82.64105,4.23792,-20.09088,-80.0496,22,0.0261,0.0162,0.0708,0.077177,389.6112
550761,550.729,13.88808,-2.3544,-8.161921,-10.9872,22,0.01695,-0.00315,0.07095,0.07301457,393.9128
550808,550.777,9.296486,0.0,-9.103681,1.88352,22,0.01515,-0.006599999,0.07065,0.07255691,399.5726
550857,550.825,11.74371,0.15696,-7.22016,9.260641,22,0.01275,-0.009,0.0711,0.07279266,390.5651
550932,550.901,12.19449,0.31392,-10.04544,6.90624,22,0.0051,-0.01485,0.0696,0.07134909,418.9219
550980,550.949,33.23811,-2.66832,-27.78192,18.0504,22,0.00015,-0.0219,0.06525001,0.06882729,445.2971
551029,550.997,81.94756,21.34656,-75.02689,25.1136,22,-0.0018,-0.03765,0.03795,0.05348799,413.5026
551112,551.081,87.01886,46.14625,-59.48784,43.63489,22,0.01485,-0.03285,0.01995,0.04120252,467.5952
551163,551.129,48.76003,16.4808,-38.61216,24.79968,22,-0.0123,-0.0369,0.02505,0.04626448,431.9167
551244,551.209,21.72238,-21.1896,-4.39488,1.88352,22,-0.05175,0.0147,0.0186,0.05692198,435.3886
551292,551.261,21.16401,-17.89344,10.04544,5.17968,22,-0.04305,0.04155,0.0198,0.06302178,425.0547
551343,551.309,33.16094,-8.946721,25.8984,18.67824,22,-0.00945,0.06255,0.02505,0.06803901,417.075
551428,551.3969,34.44048,10.04544,24.95664,21.50352,22,0.04425,0.03525,0.02055,0.06019076,434.7412
551476,551.445,16.20569,11.30112,10.9872,3.76704,22,0.04665,0.0204,0.012,0.05231044,435.5524
